Event,Gross Revenue
2019 Oscar Nominated Short Films: Animation,"$2,822.00"
"A Bread Factory, Part One",$60.00
"A Bread Factory, Part Two",$50.00
A Faithful Man ,$90.00
A Fantastic Woman,"$2,781.50"
A Ghost Story,"$3,540.75"
A Hard Day's Night,$560.00
A League of Their Own,$417.00
A Man Called Ove,"$5,965.50"
A Matter of Life and Death,$330.50
A Quiet Passion,"$3,310.25"
A Quiet Place,"$1,234.50"
A United Kingdom,"$4,134.75"
After Auschwitz,$870.00
Akira,"$2,576.00"
Ali: Fear Eats The Soul,$204.75
Alien,"$1,120.00"
Alive and Kicking,$598.25
All Is True,"$1,490.50"
All That Heaven Allows,$303.25
All the Queen's Horses,"$2,295.25"
All-Nite Horror Marathon V,"$1,444.00"
Amadeus: The Director's Cut,$886.00
Amazing Grace,"$4,064.00"
American Woman,"$1,078.75"
An Evening With Linnea Quigley,$985.00
Ancien and the Magic Tablet,"$1,033.50"
Andrei Rublev,$357.25
Anna and the Apocalypse,$488.00
Annihilation,"$1,621.00"
Apollo 11,"$1,418.75"
Arrival,"$1,391.75"
Ask Dr. Ruth,$310.50
At Eternity's Gate,"$6,132.25"
Audition,$488.00
Batman: The Movie,"$1,168.00"
Beatriz at Dinner,"$1,188.25"
Before We Vanish,$520.00
Belladonna of Sadness,$568.00
Belle De Jour,$490.75
Beyond the Valley of the Dolls,$344.00
Bicycle Thieves,$391.25
Bike Movie Night,$40.00
Birds of Passage,$342.75
Bisbee '17,$363.25
Black Clover,$242.00
Black Girl,$628.00
BlacKkKlansman,"$14,936.25"
Blade,$324.00
Blade Runner,"$2,858.00"
Blade Runner 2049,"$1,024.00"
Blaze,$839.75
Blindspotting,"$1,763.00"
Blockers,$0.00
Blue Collar,$264.00
Bombshell: The Hedy Lamarr Story,"$1,707.50"
Bones,$16.00
Booksmart,"$2,287.50"
Border,"$1,337.25"
Boyz n the Hood,$115.75
Brain Damage,$160.00
Brazil,$328.00
Burning,$686.75
Butch Cassidy and the Sundance Kid,$377.75
Buy Me a Gun,$127.50
Cafe Society,"$7,919.75"
Cairo in One Breath,$692.00
Can You Ever Forgive Me?,"$7,850.00"
Candyman,$224.00
Cape Fear,$518.50
Capernaum,"$1,701.75"
Carmen Jones,$292.00
Casablanca,"$5,110.00"
CatVideoFest 2018,"$2,509.50"
Cemetery Without Crosses,$104.00
Certain Women,"$1,736.25"
Chavela,$671.50
Children of Men,$552.00
Christine,$152.00
Climax,$256.00
Close Encounters of the Third Kind,$453.50
Cold War,"$3,410.50"
Colossal,"$2,238.00"
Columbus,"$3,336.75"
Cooley High,$94.00
Crooklyn,$79.50
Damsel,$451.25
Darkest Hour,"$7,378.75"
Daughters of the Dust,$743.25
Dawn of the Dead,$256.00
Dawson City: Frozen Time,$460.00
Deconstructing the Beatles' Revolver,$426.00
Deconstructing the Beatles' Sgt. Pepper,$672.00
Deconstructing the Beatles' White Album,$368.50
Deconstructing the Beatles: 1963 Yeah! Yeah! Yeah!,$219.75
Deconstructing the Birth of the Beatles,$454.00
Deep Red,$399.00
Demon,$568.00
Denial,"$1,673.25"
Destroyer,$319.50
Dilili in Paris,$0.00
Dirty Dancing,$128.00
Disobedience,"$1,683.00"
Dolores,"$1,228.00"
Don’t Look Now,$272.00
Donnie Darko,"$2,648.00"
Don't Think Twice,"$8,628.00"
Dr. Jekyll and Mr. Hyde,$748.00
Dreaming of a Jewish Christmas,$696.00
Echo In The Canyon,"$1,808.00"
El Mar La Mar,$90.00
Elle,"$1,048.50"
Empire of the Ants,$282.50
Endless Poetry,"$1,010.50"
Eraserhead,$880.00
Ernest Scared Stupid,$0.00
Eugene Onegin,$727.50
Ex Libris: The New York Public Library,$610.00
Ex Machina,$622.50
Faces Places,"$1,211.50"
Fanny and Alexander,$349.50
Femme Frontera Filmmaker Showcase,$421.00
Film Stars Don't Die in Liverpool,"$1,759.50"
Filmworker,$200.00
First Man,$0.00
First Reformed,"$8,623.25"
Flashdance,$72.00
Flower and Sword,"$1,020.00"
Foreign Body,$90.00
"Found Footage Festival, Vol. 8","$1,060.00"
Found Footage Festival: Cherished Gems,"$2,056.00"
Frantz,$879.50
Free Solo,"$5,610.50"
Gadget Girls & ’63 Boycott w/ Risé Sanders-Weir & Gordon Quinn,$138.00
Ganja & Hess,$40.00
Gattaca,$989.00
George A. Romero Double Feature,$276.00
Get Out,$672.00
Ghost Stories,$776.00
Giant Little Ones,$280.50
Gimme Danger,$776.00
Girlhood,$148.25
Grace Jones: Bloodlight and Bami,$216.50
Grease,$500.00
Gremlins,$312.00
Groundhog Day,$208.00
Hagazussa,$272.00
Hail Satan?,"$1,037.50"
Halloween (1978),$744.00
Halloween (2018),$141.25
Happy Death Day,$0.00
Hard to Be a God,$640.00
Harvey,$754.00
Have a Nice Day,$260.25
Have A Nice Day (Hao ji le),$336.00
Henry: Portrait of a Serial Killer,$320.00
Hereditary,$632.00
High Life ,$580.75
Holiday Heart,$297.75
Hot Summer Nights,$200.00
Hotel by the River,$182.00
How to Talk to Girls at Parties,$472.00
Hunt for the Wilderpeople,"$5,983.25"
I Am Cuba,$0.00
