Folder,EventName,InternalEventName,EventDate,TicketType,Quantity,ItemPrice,Price
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 5:00:00 PM",Adult,6,8.75,52.50
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 5:00:00 PM",Member,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 5:00:00 PM",Senior Citizen,13,8,104
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 5:00:00 PM",Student,3,8,24
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 7:30:00 PM",Adult,22,10,220
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 7:30:00 PM",Member,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 7:30:00 PM",Senior Citizen,9,8.25,74.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 16, 2018 7:30:00 PM",Student,8,8.50,68
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 2:00:00 PM",Adult,7,8.75,61.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 2:00:00 PM",Member,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 2:00:00 PM",Senior Citizen,9,8,72
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 5:00:00 PM",Adult,13,8.75,113.75
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 5:00:00 PM",Senior Citizen,8,8,64
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 5:00:00 PM",Student,1,8,8
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 7:30:00 PM",Adult,19,10,190
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 7:30:00 PM",Senior Citizen,9,8.25,74.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 17, 2018 7:30:00 PM",Student,2,8.50,17
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 2:00:00 PM",Adult,12,8.75,105
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 2:00:00 PM",Senior Citizen,5,8,40
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 2:00:00 PM",Student,2,8,16
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 5:00:00 PM",Adult,11,8.75,96.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 5:00:00 PM",Member,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 5:00:00 PM",Senior Citizen,9,8,72
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 5:00:00 PM",Student,2,8,16
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 7:30:00 PM",Adult,8,10,80
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 7:30:00 PM",Senior Citizen,5,8.25,41.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 18, 2018 7:30:00 PM",Student,4,8.50,34
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 19, 2018 5:00:00 PM",Adult,7,8.75,61.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 19, 2018 5:00:00 PM",Member,2,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 19, 2018 5:00:00 PM",Senior Citizen,4,8,32
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 19, 2018 5:00:00 PM",Student,5,8,40
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 20, 2018 5:00:00 PM",Adult,2,8.75,17.50
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 20, 2018 5:00:00 PM",Senior Citizen,2,8,16
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 20, 2018 5:00:00 PM",Student,6,8,48
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 20, 2018 7:30:00 PM",Adult,13,10,130
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 20, 2018 7:30:00 PM",Comp,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 20, 2018 7:30:00 PM",Student,3,8.50,25.50
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 21, 2018 5:00:00 PM",Adult,4,8.75,35
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 21, 2018 5:00:00 PM",Senior Citizen,2,8,16
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 21, 2018 5:00:00 PM",Student,1,8,8
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 21, 2018 7:30:00 PM",Adult,16,10,160
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 21, 2018 7:30:00 PM",Senior Citizen,10,8.25,82.50
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 21, 2018 7:30:00 PM",Student,5,8.50,42.50
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 5:00:00 PM",Adult,7,8.75,61.25
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 5:00:00 PM",Member,1,0,0
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 5:00:00 PM",Senior Citizen,5,8,40
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 5:00:00 PM",Student,5,8,40
0 - Features,A Fantastic Woman,A Fantastic Woman,"Mar 22, 2018 7:30:00 PM",Adult,19,10,190
